"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"caffeine","Caffeine","PTX022","Set of first 50 chemicals","C8H10N4O2",,"194.1926","58-08-2","DTXSID0020232","RYYVLZVUVIJVGH-UHFFFAOYSA-N","Cn1cnc2c1c(=O)n(c(=O)n2C)C",,,,"Soluble","0.054325","10549.513","COMPTOX",,,"1.401","COMPTOX","1.55E-6","6.36E-5","COMPTOX (Opera)",,,,,,,,"adenosine receptor antagonist + RyR agonist",,"decrease in dopaminergic activity in CNS","jitteriness, insomnia, increased motor activity/coordination",,,,,"1",,,,,,,"-0.07",,,,,"-0.07","experimental Hansch,C et al. (1995)","0.28",,"experimental, Endo 2011","0.28","LSERD, eq. 1","1.19",,"-0.4411","-0.4411","87659.70403212793","19516.413002858266","28326.844909755677","41995.23346640658","20538.087510225338","97024.18424760195","87659.70403212793",,,,"1690","LC50 (Knöbel et al. 2012, ECHA ZF database)","not active","Neale et al. 2020",,,,,,"LC-MS/MS","toxicokinetic already characterized by Brox et al.","?","yes","Brox et al., 2014",,,,,"85114.32921",,,,"87.66","17022.92332"," Baseline x1fold","No","Visual + UV Absorbance","Water","yes","Acid pH","NaOH 1N","±10 µL for 15 mL solution","/","0.98","1.04","LC-MS/MS",,,,,,,,,,,,,,,,
"N-Methylaniline","N-Methylaniline","PTX023","Set of first 50 chemicals","C7H9N",,"107.56","100-61-8","DTXSID9021841","AFBPFSWMIHJQDM-UHFFFAOYSA-N ","CNC1=CC=CC=C1",,,,"Soluble","2.18","233420.012","COMPTOX",,,"0.984","COMPTOX","8.85E-6","3.62E-4","COMPTOX (Opera)",,,,,,,,"Baseline Toxicity (Membrane interaction)","Klüver et al. 2016",,,,,,"4.81","0.997436194212814",,"0.00256380578718564",,,,"UFZ; Sirius T3","1.66",,,,,"1.66","experimental Hansch,C et al. (1995)","1.78",,"  (LSERD eq.1)","1.77899674004526","LSERD, eq. 1  (?mw=1)","1.59",,"0.56","0.558996740045258","2876.0287780208932","1151.3905831046739","1164.2189619505718","2564.5586794063775","2193.8660749880664","12063.851122293747","2876.0287780208932",,,,"700","Klüver et al. 2016",,,,,,,,,,,,,,,,,"1631.966005",,,,"6.09","652.077006"," Baseline x2fold","No","Visual + UV Absorbance","Water","no","/","/","/","/",,"0.25","LC-MS/MS",,,,,,,,,,,,,,,,
"Fingolimod","Fingolimod","PTX024","Set of first 50 chemicals","C19H33NO2",,"307.478","162359-55-9","DTXSID40167363","KKGQTZUTZRNORY-UHFFFAOYSA-N","CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N",,,,"Soluble","2.14E-4","65.73756649","COMPTOX",,,"0.994","COMPTOX","4.5E-8","1.84E-6","COMPTOX (Opera)",,,,,,,,"sphingosin-1-P analogue",,"deregulated ceramide/sphingosine metabolism","cadiotox (?)",,,,"8.46","0.0801183430290192",,"0.919881656970981",,,,"UFZ; Sirius T3",,,,,,"4.857","mean of ACD consensus and KOWWIN",,,"Kow QSAR","4.26136729479233","Kow-QSAR (?mw=1)","3.86847",,"3.15561","2.39140729479233","10.028740138430301","10.609106723594754","41.49543253936163","25.020298762746418","54.02987875584461","382.0622719838696","54.02987875584461",,,,,,,,,,,,,"LC-MS/MS","?","isotope pattern of chlorine, triple quadrupole MS","yes","Suneeta et al., 2016",,,,,"2393.067186",,,,"0.71","218.30938"," Baseline x0.46fold","No","Visual","DMSO","no","/","/",,,,,,,,,,,,,,,,,,,,,"710"
"Triadimenol","Triadimenol","PTX025","Set of first 50 chemicals","C14H18ClN3O2",,"295.7681","55219-65-3","DTXSID0032493","BAZVSMNPJJMILC-UHFFFAOYSA-N","CC(C)(C)C(C(n1cncn1)Oc2ccc(cc2)Cl)O",,,,"Soluble","2.67E-4","79.0591089","COMPTOX",,,"1.293","COMPTOX","2.97E-8","1.21E-6","COMPTOX (Opera)",,,,,,,,"CYP inhibition/retinoic acid metabolis",,"Development","DevTox",,,"14.83","0.0","0.999999960189285",,"3.98107154704564E-8",,,,"ACD pKa/GALAS","2.9",,,,,"2.9","experimental, Baker,EA et al. (1992)","3.15",,"  (LSERD eq.1)","3.14999998443938","LSERD, eq. 1  (?mw=1)","2.25",,"2.7","2.69999998443938","126.32811486176499","86.49679441887245","145.61549410732138","198.83828681036314","283.6612485171888","1792.2558614824798","283.6612485171888",,,,"27.5","LC50 (Padilla et al. 2012, ECHA ZF database)","no cytotoxicity","not active",,,,,,"LC-MS/MS","?","5500 QTRAP system","yes","Ferrer et al., 2011.",,,,,"515.4556873",,,,"96","28393.7376"," Baseline x275.42fold","No","Visual","DMSO","no","/","/","/",,"0.95",">100 %","LC-MS/MS",,,,,,,,,,,,,,,,"96000"
"Chlorpyrifos","Chlorpyrifos","PTX026","Set of first 50 chemicals","C9H11Cl3NO3PS",,"350.57","  2921-88-2","DTXSID4020458","SBPBAQFWLVIOKP-UHFFFAOYSA-N","CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl",,,,"Soluble","2.36E-6","0.827545576","COMPTOX",,,"1.486","COMPTOX","2.92E-6","1.19E-4","COMPTOX (Opera)",,,,,,,,"AChE inhibitor",,"Neuroactive","Motor effects, seizures",,,,,"1",,,,,,,"4.96",,,,,"4.96","experimental, Sangster et al. (1994)",,,"experimental, Endo 2011","5.1296","Kow-QSAR (?mw=1)","3.83",,"3.2308","3.2308","1.3857854590511396","2.0593397383365195","19.10613534636486","4.954775711506983","14.7917378045385","114.21459391888621","19.10613534636486","0.5","2.27937108",,"> 64","Truong et al. 2014","masked","Lee et al. 2021",,,,,,"LC-MS/MS","?","triple quadrupole MS, LC-HRMS","yes","Gomez-Canela et al., 2016,; Alharbi et al., 2016",,,,,"329.303816","-Z+C",,,"0.14","49.081704"," Baseline x0.75fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","1.02","0.127","LC-MS/MS",,,,,,,,,,,,,,,,"140"
"Chlorpyrifos oxon","Chlorpyrifos oxon","PTX027","Set of first 50 chemicals","C9H11Cl3NO4P",,"334.51","5598-15-2","DTXSID1038666","OTMOUPHCTWPNSL-UHFFFAOYSA-N","CCO[P](=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl",,,,"Soluble","2.1E-4","70.37627969","COMPTOX",,,"1.477","COMPTOX","3.74E-7","1.53E-5","COMPTOX (Opera)",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"3.161","mean of ACD consensus and KOWWIN","4.3",,"  (LSERD eq.1)","4.3","LSERD, eq. 1  (?mw=1)","3.28",,"1.91753","1.91753","9.18332596483582","9.8627948563121","39.948487433970726","23.280912576650078","51.003502395944686","362.07621775667326","51.003502395944686","0.5","1.236150011",,"2","LC50 (Truong et al. 2014, ECHA ZF database",,,,,,,,"GC-MS/MS","highly hydrophobic","LC-MS/MS only for metabolites","no","pubchem; Choi et al., 2006",,,,,"1463.17404","+Z+C",,,"0.15","50.17845"," Baseline x0.17fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.7365","0.639",,,,,,,,,,,,,,,,,"150"
"Genistein","Genistein","PTX028","Set of first 50 chemicals","C15H10O5",,"270.241","446-72-0","DTXSID5022308","TZBJGXHYKVUXJN-UHFFFAOYSA-N","c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O",,,,"Soluble","6.1E-4","164.7218884","COMPTOX",,,"1.555","COMPTOX","2.15E-10","8.79E-9","COMPTOX (Opera)",,,,,,,,"estrogenic, tyrosin kinase inhibitor",,"Secondary sex characteristics, signalling pathways","Sexual differentiation, reproduction",,,"7.05;9.37;12.61",,"0.30649373163066","0.686153995840253",,,"0.00740646625250779",,"UFZ; Sirius T3","3.08206",,,,,"3.08206","PP-LFER, Ulrich, N., Endo, S., Brown, T.N., Watanabe, N., Bronner, G., Abraham, M.H., Goss, K.-U., UFZ-LSER database v 3.2.1 [Internet], Leipzig, Germany, Helmholtz Centre for Environmental Research-UFZ. 2017 [accessed on 11.08.2023]. Available from http://www.ufz.de/lserd ","3.31",,"  (LSERD eq.1)","3.32","Henneberger et al. 2019","3.17",,"2.6","2.17500803574539","85.74326166361806","62.74801619978533","117.56348074417913","144.8104823051373","220.1101146459872","1414.8812781618196","220.1101146459872",,,,"20.2","LC50 (Truong et al. 2014, ECHA ZF database","no cytotoxicity","1.57E-5",,,,,,"LC-MS/MS","?","4000 QTRAP system, ion trap, qTOF","yes","pubchem; Saha & Kroon, 2019",,,,,"291.2870945","phytohormone",,,"0.05","13.51205"," Baseline x0.23fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","HEPES 10 mM","0.96","1.04","LC-MS/MS",,,,,,,,,,,,,,,,"50"
"Niflumic acid","Niflumic acid","PTX029","Set of first 50 chemicals","C13H9F3N2O2",,"282.2215","4394-00-7","DTXSID1023368","JZFPYUNJRRFVQU-UHFFFAOYSA-N","OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F",,,,"Soluble","4.71E-5","13.29198354","COMPTOX",,,"1.397","COMPTOX","8.31E-10","3.4E-8","COMPTOX (Opera)",,,,,,,,,,,,,,"4.84","2.0","0.00274666376316324","0.997253336236837",,,,,"UFZ; Sirius T3","4.43",,,,,"4.43","experimental Takacs-Novak et al. (1995)","3.49",,"  (LSERD eq.1)","3.6049052015684","Kow-QSAR (?mw=1)","3.23",,"2.58","1.5906052015684","44.78616238743632","36.64187887119444","83.68419239070343","85.11905369297506","143.88695746160334","952.0006792502676","143.88695746160334",,,,,,,,,,,,,"LC-MS/MS","?","qTOF; ion trap; triple-quadrupole MS","yes","pubchem; Kang & Kim, 2009",,,,,"222.547067",,,,"0.32","90.31088"," Baseline x2.03fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","1.01","1.02","LC-MS/MS",,,,,,,,,,,,,,,,"320"
"pregnenolone","Pregnenolone","PTX030","Set of first 50 chemicals","C21H32O2",,"316.4826","145-13-1","DTXSID1036541","ORNBQBCIOKFOEO-QGVNFLHTSA-N","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C",,,,"Soluble","1.06E-4","33.60095764","COMPTOX",,,"1.064","COMPTOX","4.39E-9","1.8E-7","COMPTOX (Opera)",,,,,,,,"steroid hormone precursor",,"endocrine disruptor","endocrine system tox, liver tox",,,"15.99",,"0.999999997429604","2.57039567408412E-9",,,,,"ACD pKa/GALAS","4.22",,,,,"4.22","experimental Hansch,C et al. (1995)","3.26",,"  (LSERD eq.1)","4.38219999899532","Kow-QSAR (?mw=1)","3.41",,"2.93","2.92999999899532","7.614160041760509","8.44492896488656","36.88837059455221","19.971836443902","45.1163960745899","322.9618324933853","45.1163960745899",,,,,,,,,,,,,"LC-MS/MS","?","triple quadrupole MS","yes","Rustichelli et al., 2013",,,,,"146.0014199",,,,"0.04","12.659304"," Baseline x0.43fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.971","0.124","LC-MS/MS",,,,,,,,,,,,,,,,"40"
"dexamethasone","Dexamethasone","PTX031","Set of first 50 chemicals","C22H29FO5",,"392.4665","50-02-2","DTXSID3020384","UREBDLICKHMUKA-CXSFZGCWSA-N","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C",,,,"Soluble","1.05E-4","41.38127529","COMPTOX",,,"1.318","COMPTOX","6.56E-11","2.68E-9","COMPTOX (Opera)",,,,,,,,"glucocorticoid",,"endocrine disruptor","endocrine disruption (Cushing's syndrome)",,,"13.02;14.13;14.97",,"0.999997601172389","2.39882716463285E-6",,,"4.46682520634212E-13",,"ACD pKa/GALAS","1.83",,,,,"1.94","experimental Hansch,C et al. (1995)","1.73",,"  (LSERD eq.1)","1.72999906238115","LSERD, eq. 1  (?mw=1)","2.12",,"1.8","1.79999906238115","3215.8880971003837","1262.9924919899079","1270.6340926104774","2809.964022754983","2360.2641371145687","12914.588309684113","3215.8880971003837",,,,">64","LC50, Truong et al. 2014 and ECHA ZF Database","no cytotoxicity","not active",,,,,,"LC-MS/MS","?","triple quadrupole MS","yes","Patel et al., 2010; Yuan et al., 2014",,,,,"4647.095491",,,,"0.23","90.267295"," Baseline x0.1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","1.078","1.083","LC-MS/MS",,,,,,,,,,,,,,,,
"Ethylenethiourea","Ethylene thiourea","PTX032","Set of first 50 chemicals","C3H6N2S","PARC-DNT based on ECVAM DNT List, Mundy et al 2015","102.1538","96-45-7","DTXSID5020601","PDQAZBWRQCGBEV-UHFFFAOYSA-N","S=C1NCCN1",,,,"Soluble","0.328095","33516.15101","COMPTOX",,,"1.207","COMPTOX","3.86E-9","1.58E-7","COMPTOX (Opera)",,,,,,"Neuronal degradation (Khera 1987)",,,,,,,,"13.0","1.7","0.999997488119878","2.51188012201364E-6",,,,,"ACD pKa/GALAS","-0.66",,,,,"-0.66","experimental Govers,H et al. (1986)",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.546600981807219","Kow-QSAR (?mw=1)","1.31",,"-0.8718","-0.871800981807218","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613","> 200","211.723652",,"0.064; 78922","Truong et al. 2014 (sublethal?), Jarque et al. 2018 (48 - 120 hpf)",,,,,,,,"LC-MS/MS","?","qTOF; Q Exactive Plus Orbitrap; 5500 QTRAP system","yes","pubchem; Tran et al., 2013",,,,,"294685.3398","+Z-C","Jonathan Freedman",,"97.5","9959.9955"," Baseline x0.17fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.864","0.927","LC-MS/MS",,,,,,,,,,,,,,,,"97500"
"Diphenylamine","Diphenylamine","PTX033","Set of first 50 chemicals","C12H11N",,"169.227","122-39-4","DTXSID4021975","DMBHHRLKUKUOEG-UHFFFAOYSA-N","N(C1=CC=CC=C1)C1=CC=CC=C1 ",,,,"Soluble","1.75","295905.925","COMPTOX",,,"1.07","COMPTOX","7.36E-8","3.01E-6","COMPTOX (Opera)",,,,,,,,"Baseline Toxicity (Membrane interaction)","Klüver et al. 2016",,,,,,"0.8","0.99999974881142",,"2.51188580055239E-7",,,,"ACD pKa/GALAS","3.5",,,,,"3.5","experimental Hansch,C et al. (1995)","4.2",,"  (LSERD eq.1)","4.19999990181916","LSERD, eq. 1  (?mw=1)","3.64",,"2.85","2.84999990181916","11.534535159743895","11.912422288564855","44.10841406678093","28.054341516729142","59.21068203042718","416.10224533459916","59.21068203042718",,,,"46; 29","LC50 (Padilla et al. 2012, ECHA ZF database); Klüver et al. 2016",,,,,,,,,,,,,,,,,"166.5949876",,,,"0.14","23.672474"," Baseline x0.71fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/",,"0.213","LC-MS/MS",,,,,,,,,,,,,,,,"140"
"Atorvastatin","Atorvastatin","PTX034","Set of first 50 chemicals","C33H35FN2O5",,"558.6483","134523-00-5","DTXSID8029868","XUKUURHRXDUEBC-KAYWLYCHSA-N","CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4",,,,"Soluble","2.07E-6","1.156480192","COMPTOX",,,"1.311","COMPTOX","1.1E-11","4.48E-10","COMPTOX (Opera)",,,,,,,,"HMGCoA reductase inhibitor",,"deregulated cholesterol and terpenoid metabolism","multiple, potential carcinogen?",,,"4.66",,"0.00181639556204615","0.998183604437954",,,,,"UFZ; Sirius T3",,,,,,"5.41496","mean of ACD consensus and KOWWIN",,,"Kow QSAR","4.59615184889625","Kow-QSAR (?mw=1)","4.2646216",,"3.5629208","2.56996304889625","4.67530200356602","5.638394826437064","30.19183275073751","13.400376556222174","32.78639010038442","239.84147328170278","32.78639010038442",,,,,,"4.11E-4","3.11E-5",,,,,,"LC-MS/MS","?","triple quadrupole MS","yes","Nageswara Rao Pilli et al., 2010",,"Atorvastatin Calcium Salt Trihydrate","344423-98-9","1209.408","625.7270852","Very hydrophobic. To get the correct molar concentration, you need to divide the amount weighed in by the molar mass of the calcium trihydrate and multiply by 2, because 1 mol of the calcium trihydrate salt contains 2 mol of Atorvastatin","UFZ, Dpt. ZELLTOX (Henneberger)",,"0.3","167.59449"," Baseline x1.34fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","1.0712","0.895","LC-MS/MS",,,,,,,,,,,,,,,,"300"
"fluoxetine","Fluoxetine","PTX035","Set of first 50 chemicals","C17H18F3NO",,"309.3305","54910-89-3","DTXSID7023067","RTHCYVBBDHJXIQ-UHFFFAOYSA-N","CNCCC(c1ccccc1)Oc2ccc(cc2)C(F)(F)F",,,,"Soluble","2.37E-5","7.318512166","COMPTOX",,,"1.22","COMPTOX","3.12E-8","1.28E-6","COMPTOX (Opera)",,,,,,,,"SSRI",,"neuroactive","neurotox",,,,"10.2","0.00158238528080172",,"0.998417614719198",,,,"UFZ; Sirius T3","4.05",,,,,"4.05","experimental Adlard,M et al. (1995)","4.2",,"  (LSERD eq.1)","3.84448725925007","Neuwöhner 2009","3.54",,"3.11","2.04","25.939261854584306","23.308828551226583","63.96702961334012","54.4459174062923","100.64037723859961","682.2282445286735","100.64037723859961",,,,"76.5","LC50 (UFZ, unpublished, ECHA ZF database)","3.0E-5","4.8E-6",,,,,,"LC-MS/MS","?","triple quadrupole MS","yes","Gopinath et al., 2011",,"Fluoxetine hydrochloride","56296-78-7","345.79","195.326461","Use MW of hydrochloride for calculating mg/L from molar concentrations for exposure solutions.",,,"0.25","77.332625"," Baseline x1.98fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","1.0317","1.233","Lc-MS/MS",,,,,,,,,,,,,,,,"250"
"nicotine","Nicotine","PTX036","Set of first 50 chemicals","C10H14N2",,"162.234","54-11-5","DTXSID1020930","SNICXCGAKADSCV-JTQLQIEISA-N","CN1CCC[C@H]1c2cccnc2",,,,"Soluble","0.0799834","12976.02692","COMPTOX",,,"1.016","COMPTOX","2.76E-5","0.001128615","COMPTOX (Opera)",,,,,,,,"nAChR agonist",,"agonistic at all nAChR receptors except at nAChR?9 and nAChR?10","anxiolytic",,,,"3.24;8.05","0.182910826208735",,"0.817032648942186",,,"5.65248490790141E-5","UFZ; Sirius T3","1.17",,,,,"1.17","experimental Hansch,C et al. (1995)","0.88",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.302622244278449","LSERD, eq. 1  (?mw=1)","1.31",,"-0.05","-0.627377755721551","83253.78328123946","18700.35106463292","26756.3582189457","40260.20501874768","19856.41247085241","94019.11621003001","83253.78328123946",,,,"180","LC50 (Ali et al. 2011, 2012; ECHA ZF database)",,,,,,,,"LC-MS/MS","toxicokinetic already characterized by Brox et al.","?","yes","Piller et al., 2014; Brox et al., 2014",,,,,"26013.61528","too volatile to be tested in a HTS bioassay set up",,,"84.21","13661.72514"," Baseline x2.63fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1N","±30 µL for 15 mL solution","HEPES 10 mM","0.683","1.004","LC-MS/MS",,,,,,,,,,,,,,,,
"valproic acid","Valproic acid","PTX037","Set of first 50 chemicals","C8H16O2",,"144.2132","99-66-1","DTXSID6023733","NIJJYAXOARWZEE-UHFFFAOYSA-N","CCCC(CCC)C(=O)O",,,,"Soluble","0.0260016","3749.773941","COMPTOX",,,"0.95","COMPTOX","8.32E-7","3.4E-5","COMPTOX (Opera)",,,,,,,,"histone deacetylase inhibitor, Na channel blocker, GABA modulator",,"neuroactive","neurotox, developmental tox, liver tox",,,"4.52",,"0.00131652122557933","0.998683478774421",,,,,"UFZ; Sirius T3","2.75",,,,,"2.75","experimental Sangster et al. (1993)",,,"Kow QSAR","1.90261557419979","Kow-QSAR (?mw=1)","2.3725",,"1.6175","0.622615574199791","2169.7544190091935","911.7068737740408","937.8377496958935","2036.4857939622716","1824.3371748436512","10158.280321702136","2169.7544190091935",,,,"840","LC50 (valproate, Selderslagh et al. 2012, ECHA ZF database)",,,,,,,,"LC-MS/MS","toxicokinetic already characterized by Brox et al.","?","yes","Brox et al., 2016",,,,,"1926.828493",,,,"5.44","784.519808"," Baseline x2.04fold","No","Visual + UV Absorbance","DMSO","yes","Acid pH","NaOH 0.1N","±1 µL for 15 mL solution","HEPES 10 mM","0.98","1.033","LC-MS/MS",,,,,,,,,,,,,,,,"5440"
"Verapamil","(+/-)-Verapamil","PTX038","Set of first 50 chemicals","C27H38N2O4",,"454.6082","52-53-9","DTXSID9041152","SGTNSNPWRIOYBX-UHFFFAOYSA-N","CC(C)C(CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccc(c(c2)OC)OC",,,,"Soluble","8.91E-7","0.405170013","COMPTOX",,,"1.042","COMPTOX","4.69E-7","1.92E-5","COMPTOX (Opera)",,,,,,,,"Beta blocker",,"Heartrate","Cardiovascular effects",,,,"8.82","0.0366264411760469",,"0.963373558823953",,,,"UFZ; Sirius T3","3.79",,,,,"3.79","experimental Hansch,C et al. (1995)","3.82",,"  (LSERD eq.1)","2.41485198279777","LSERD for neutral and COSMO for charged","3.35",,"3.52","1.54","674.988753886896","346.59426645235607","408.2519472513594","783.3753359118223","849.524513409117","4982.2945869923615","849.524513409117",,,,"112","UFZ, unpublished","4.6E-5","not active",,,,,,"LC-MS/MS","toxicokinetic already characterized by Brox et al.","?","yes","Brox et al., 2014",,"Verapamil hydrochloride","152-11-4","491.07","2855.746325","Use MW of hydrochloride to calculate mg/L from molar concentrations for exposure solutions.",,,"0.33","150.020706"," Baseline x0.26fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","HEPES 10 mM","1.17","0.94","LC-MS/MS",,,,,,,,,,,,,,,,"330"
"Diclofenac","Diclofenac","PTX039","Set of first 50 chemicals","C14H11Cl2NO2",,"296.1524","15307-86-5","DTXSID6022923","DCOPUUMXTXDBNB-UHFFFAOYSA-N","c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl",,,,"Soluble","1.78E-5","5.278561147","COMPTOX",,,"1.447","COMPTOX","1.57E-10","6.42E-9","COMPTOX (Opera)",,,,,,,,"Cox-Inhibitor",,"Prostaglandin-level, inflammation","DevTox",,,"4.07",,"4.67516467406261E-4","0.999532483532594",,,,,"Niu, L., et al. (2022). pH-Dependent Partitioning of Ionizable Organic Chemicals between the Silicone Polymer Polydimethylsiloxane (PDMS) and Water. ACS Environmental Au.","4.51",,,,,"4.51","Avdeef et al. 1997","4.73",,"  (LSERD eq.1)","2.65271825471644","Avdeef et al. 1997","4.1",,"3.59","2.47","392.47222535736745","221.1928228669887","286.7345794171535","502.68764773283846","595.7150483488203","3578.9709570354294","595.7150483488203",,,,"11.5","LC50 (Truong et al. 2014, ECHA ZF database","4.78E-5","not active",,,,,,"LC-MS/MS","?","qTOF, triple quadrupol MS","yes","Bhatt et al., 2018;",,,,,"1045.969886",,,,"0.01","2.961524"," Baseline x0.01fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.795","0.775","LC-MS/MS",,,,,,,,,,,,,,,,"10"
"bisphenol A","Bisphenol A","PTX040","Set of first 50 chemicals","C15H16O2",,"228.2902","80-05-7","DTXSID7020182","IISBACLAFKSPIT-UHFFFAOYSA-N","CC(C)(c1ccc(cc1)O)c2ccc(cc2)O",,,,"Soluble","0.00124451","284.1094368","COMPTOX",,,"1.195","COMPTOX","1.25E-7","5.12E-6","COMPTOX (Opera)",,,,,,,,"nuclear receptors (e.g. ER, PPAR, GPER, AhR,...)",,"endocrine disruptor","repro-/ developmental tox",,,"9.7;10.47",,"0.995008897925971","0.0049868575698604",,,"4.24451912514954E-6",,"ACD pKa/GALAS","3.32",,,,,"3.32","experimental Hansch,C et al. (1995)","3.42",,"experimental, Endo 2011","3.65","Kwon et al. 2006","2.88",,"2.45","2.45","40.41103745134908","33.65115693754908","79.46451689540771","78.25282050666111","134.5240705148633","894.1286275029548","134.5240705148633",,,,"25","LC50, Truong et al. 2014 and ECHA ZF Database","7.12E-5","4.95E-5",,,,,,"LC-MS/MS or GC-MS/MS","?","negative ion mode","yes","Tominaga et al., 2006",,,,,"171.9080445",,,,"0.3","68.48706"," Baseline x1.99fold","No","Visual + UV Absorbance","Water","no","/","/","/","HEPES 10 mM","1.02","1","LC-MS/MS",,,,,,,,,,,,,,,,
